0,21,31,30,0,3,10,1,48,0,6,65,23,106,0,11,0,75,87,128,18,19,1,0,22,0
13,0,0,0,28,0,0,0,6,0,0,16,0,0,18,0,0,8,2,0,8,0,0,0,4,0
36,0,6,0,37,0,0,23,10,0,10,13,0,0,45,0,0,35,2,20,9,0,0,0,3,0
15,0,0,3,94,0,8,0,30,0,0,6,2,0,7,0,0,7,3,2,3,2,1,0,5,0
55,2,26,69,22,8,6,1,4,1,3,32,45,122,7,18,2,129,63,19,0,16,7,20,10,0
8,0,0,0,11,6,0,0,11,0,0,1,0,0,39,0,0,13,0,2,6,0,0,0,0,0
9,0,0,0,29,0,3,21,9,0,0,0,0,11,6,0,0,4,13,2,4,0,0,0,0,0
82,0,0,0,182,0,0,0,59,0,0,0,0,0,37,0,0,2,1,9,2,0,0,0,0,0
19,9,51,90,15,14,22,0,0,0,3,24,15,152,43,6,1,13,69,61,0,18,0,0,0,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,0,0,0,15,0,0,0,5,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0
28,0,0,27,46,2,0,0,43,0,2,39,0,0,15,1,0,2,6,5,8,1,0,0,34,0
35,6,0,0,35,2,0,0,26,0,0,0,7,1,45,15,0,0,9,0,4,0,0,0,0,0
37,0,21,77,24,5,86,2,17,0,1,2,1,6,26,0,0,0,39,53,3,6,0,0,6,0
4,1,27,7,2,60,2,0,1,0,6,17,47,95,6,5,0,84,11,23,80,18,20,2,0,0
20,0,0,0,20,0,0,4,5,0,0,18,0,0,22,12,0,34,1,4,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
76,4,6,10,98,0,9,0,57,0,5,5,21,16,35,3,0,13,20,20,15,2,0,0,11,0
37,0,7,0,64,0,1,15,28,0,0,4,2,0,27,11,0,0,28,57,11,0,1,0,0,0
28,0,3,0,93,0,0,167,82,0,0,3,2,0,55,0,0,27,21,17,9,0,1,0,15,0
2,9,4,15,10,0,17,0,1,0,0,27,8,38,0,10,0,28,23,41,0,0,0,0,0,0
20,0,0,0,54,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
21,0,0,1,8,0,0,21,21,0,0,0,0,2,16,0,0,2,1,0,0,0,0,0,0,0
1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,10,0,0,0,3,2,0,0,0,0,0
0,0,0,0,9,0,0,0,3,0,0,0,1,0,4,0,0,0,4,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
