5,155,220,420,6,27,37,23,13,39,3,374,199,449,2,43,10,574,613,119,69,25,0,1,18,49
114,0,0,3,62,0,0,0,140,7,0,58,0,0,23,0,0,98,12,2,20,0,0,0,0,0
319,0,34,0,148,0,0,71,524,0,5,44,0,15,532,0,0,87,0,89,102,0,0,0,0,1
273,0,0,2,1118,0,0,0,250,0,0,0,4,2,452,0,1,37,1,1,49,2,1,0,2,0
90,21,233,99,12,24,136,0,23,36,1,457,149,980,28,52,19,665,835,80,9,56,3,74,13,71
30,0,0,0,24,1,9,0,63,0,0,13,0,0,33,0,0,53,1,2,62,0,0,0,0,0
77,0,0,0,64,0,47,2,105,0,0,16,1,3,111,0,0,86,1,6,106,0,0,0,0,0
178,0,0,0,41,0,0,0,48,0,0,0,0,5,118,0,0,0,0,3,6,0,0,0,0,0
226,61,349,246,268,16,101,3,0,16,0,108,102,381,272,63,3,79,207,155,8,71,0,1,0,55
31,0,0,0,35,0,0,0,1,0,0,0,0,0,46,0,0,0,0,0,16,0,0,0,0,0
0,0,0,0,4,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
622,2,7,10,223,2,30,0,154,0,0,72,38,1,341,5,9,1,10,35,55,15,2,0,0,0
215,85,0,0,208,0,0,0,188,0,0,0,1,3,170,124,0,0,1,0,72,0,0,0,0,0
363,0,192,211,274,31,29,2,157,3,1,1,5,8,267,0,9,2,82,543,52,42,1,0,1,14
11,110,111,128,6,21,75,11,2,3,2,145,205,548,14,49,4,407,709,63,15,23,1,1,15,3
239,0,8,0,179,0,0,0,45,0,0,55,0,0,259,3,0,215,1,12,71,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0
649,7,43,48,516,1,39,0,340,2,6,27,61,67,322,6,13,62,81,136,38,25,0,0,3,7
176,3,60,22,308,5,7,52,205,0,0,14,35,2,157,57,1,0,1,399,153,1,0,0,0,0
506,0,1,0,470,0,2,1,328,0,0,8,1,1,272,0,0,235,3,5,94,0,0,0,0,1
67,27,61,67,458,4,13,0,87,7,0,77,24,351,5,25,1,124,109,48,0,12,1,0,24,4
77,0,0,0,150,0,0,0,95,0,0,0,0,0,77,0,0,0,0,0,6,0,0,0,0,0
6,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
5,0,5,0,0,0,0,6,43,1,0,0,0,0,0,14,0,0,0,18,3,0,0,0,0,0
9,1,0,0,14,0,0,0,4,0,0,0,0,0,5,0,0,1,1,0,1,0,0,0,1,0
70,0,1,0,1,0,2,0,3,0,0,0,0,0,48,0,10,0,0,0,14,0,0,0,0,1
